s_num,s_c,s_l,e_l,s_pos,rmse
6,"[488.89803543044724, 379.2956884038165, 210.51137654933075, 482.2837582879985, 224.80900012765073, 470.49769393816246]","[0.21594919805020654, 0.30826812872139886, 0.3124406756131511, 0.2576456183191522, 0.21274431459991594, 0.38511253977323434]",0.2878195377414017,"[0.38, -0.19, -0.1, -0.04, 0.09, -0.19]",0.7164143018671959
2,"[297.7856939527271, 408.13858741555947, nan, nan, nan, nan]","[0.3400663469414935, 0.29115731670468814, nan, nan, nan, nan]",0.3156323132952776,"[0.39, 0.39, nan, nan, nan, nan]",1.302811579187657
4,"[215.39448367100374, 198.95153115968606, 177.27115081768093, 487.35364618790555, nan, nan]","[0.23335670819148122, 0.25905118838677604, 0.23460249287857635, 0.19482368536413386, nan, nan]",2.555854379250259,"[0.37, 0.35000000000000003, 0.36, 0.4, nan, nan]",1.4028635685127062
3,"[274.4899413854837, 494.388956402728, 408.1294188749336, nan, nan, nan]","[0.2796735097270583, 0.2887115889789127, 0.2405409168560148, nan, nan, nan]",1.4207979685245695,"[0.19, 0.39, 0.34, nan, nan, nan]",1.7964171609751878
6,"[301.51538422838246, 497.19223658635514, 438.9978399654591, 323.6729947915002, 167.857208196036, 311.75705926132235]","[0.19828413488550636, 0.2867724693055045, 0.18276354837474956, 0.38761673638872995, 0.16162423420999336, 0.37265576870343453]",1.4613008663743463,"[0.37, 0.37, -0.02, -0.04, 0.28, -0.06]",1.3664690984928902
5,"[158.14005725395344, 325.2725111531124, 246.382143307133, 240.04150506331223, 413.52997790720957, nan]","[0.2979027631291903, 0.20703172034471362, 0.32775611234759355, 0.15370693512382647, 0.2359968592405899, nan]",3.48017878792672,"[0.35000000000000003, 0.4, 0.38, 0.39, 0.36, nan]",1.9440648604009485
5,"[445.2623620145468, 465.82531551355635, 437.03471949311484, 357.13019333106377, 494.42723528737815, nan]","[0.16325618840953196, 0.3440884327433107, 0.23014551366037797, 0.3296471933863594, 0.15030238598240236, nan]",1.1991351187310584,"[0.26, -0.07, 0.37, 0.09, 0.02, nan]",1.0000883147225996
4,"[231.9667136311968, 334.1082233403111, 168.93527421991922, 159.23225053739804, nan, nan]","[0.2384989648128187, 0.15090431022606188, 0.24709364329362402, 0.3933257825517303, nan, nan]",1.0607570401004351,"[0.28, 0.39, 0.38, -0.26, nan, nan]",0.8477474615370434
6,"[463.88330931066946, 435.75541131562846, 186.90622190844124, 398.56807895267013, 381.45033689556726, 480.3476786994051]","[0.3563494978000562, 0.21936261106259416, 0.38249811733794886, 0.19309436050447756, 0.3558544547458171, 0.2639479940756926]",1.6201653778812408,"[-0.16, 0.4, 0.16, -0.01, 0.11, 0.36]",1.313077791323968
2,"[191.84144891578848, 357.1482918544648, nan, nan, nan, nan]","[0.18476184209662283, 0.16481808018967015, nan, nan, nan, nan]",0.9477826842064374,"[0.4, 0.4, nan, nan, nan, nan]",0.6958587284487365
