number of springs: 4
Number of slots: 20
spring_constants: [600, 300, 250, 230]
spring_lengths: [0.1, 0.2, 0.17, 0.13]
rmse,initial guess,final install positions
17.94,"[array([13, 19, -9, 10]), array([760, 460, 640, 800]), array([0.25, 0.15, 0.25, 0.25])]","[array([0., 8., 0., 8.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
3.71,"[array([-17, -15,  16,   6]), array([240, 390, 400, 430]), array([0.15, 0.25, 0.15, 0.25])]","[array([19.,  0.,  0.,  3.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
129.59,"[array([ -8, -10, -18,  -9]), array([710, 740, 770, 530]), array([0.25, 0.25, 0.15, 0.15])]","[array([19., 16.,  0.,  0.]), array([800., 540., 200., 200.]), array([0.15, 0.25, 0.25, 0.25])]"
18.58,"[array([-17, -11,  17,  11]), array([540, 220, 400, 240]), array([0.15, 0.15, 0.25, 0.25])]","[array([6., 0., 9., 0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
82.30,"[array([-18, -17,   3, -19]), array([720, 490, 200, 260]), array([0.25, 0.25, 0.15, 0.25])]","[array([19.,  0.,  0.,  0.]), array([800., 200., 200., 200.]), array([0.15, 0.25, 0.25, 0.25])]"
53.66,"[array([ -3, -12, -18,   1]), array([700, 440, 460, 720]), array([0.25, 0.25, 0.25, 0.25])]","[array([12., 15.,  0.,  0.]), array([740., 310., 200., 200.]), array([0.15, 0.25, 0.25, 0.25])]"
9.64,"[array([ 7,  7, 11, -8]), array([370, 510, 570, 670]), array([0.15, 0.15, 0.15, 0.25])]","[array([ 4.,  1., 12.,  0.]), array([200., 200., 320., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
54.56,"[array([-13, -13,  -6, -12]), array([550, 470, 650, 270]), array([0.15, 0.25, 0.15, 0.25])]","[array([19.,  0.,  0.,  0.]), array([710., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
17.78,"[array([ 7, -1, 18, -1]), array([430, 630, 770, 390]), array([0.25, 0.15, 0.25, 0.25])]","[array([ 3.,  0., 10.,  0.]), array([200., 200., 230., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
137.17,"[array([ 16,  -5, -16, -14]), array([730, 710, 790, 450]), array([0.25, 0.25, 0.15, 0.15])]","[array([19., 17.,  0.,  0.]), array([800., 570., 200., 200.]), array([0.15, 0.25, 0.25, 0.25])]"
